연도,광역지자체,신재생에너지 합계(MWh),재생에너지 합계(MWh),신에너지 합계(MWh),신재생에너지공급비중,태양광,풍력,수력,해양,바이오,재생폐기물,연료전지,IGCC
2021,서울특별시,"782,277","343,803","438,474",1.54,"244,804",198,618,-,"28,706","69,477","438,474",-
2021,부산광역시,"616,236","322,758","293,478",1.22,"268,850",67,41,-,"14,294","39,506","293,478",-
2021,대구광역시,"251,812","237,111","14,701",0.5,"203,414",25,"14,518",-,"14,158","4,996","14,701",-
2021,인천광역시,"2,020,296","522,823","1,497,473",3.99,"222,103","39,490","41,096",-,"210,856","9,278","1,497,473",-
2021,광주광역시,"345,741","341,185","4,557",0.68,"323,404",5,"8,230",-,"3,107","6,438","4,557",-
2021,대전광역시,"148,871","111,077","37,794",0.29,"107,759",379,257,-,-,"2,683","37,794",-
2021,울산광역시,"902,327","846,768","55,559",1.78,"147,698","1,745","1,144",-,"689,987","6,193","55,559",-
2021,세종특별자치시,"170,224","126,389","43,834",0.34,"94,225",-,-,-,"27,461","4,704","43,834",-
2021,경기도,"4,733,827","3,280,766","1,453,062",9.34,"1,764,822","4,680","633,233","454,961","346,957","76,112","1,453,062",-
2021,강원도,"5,888,937","5,740,642","148,294",11.63,"1,831,240","947,359","713,162",-,"2,225,996","22,885","148,294",-
2021,충청북도,"2,225,401","2,170,437","54,965",4.39,"1,407,403",49,"731,058",-,"8,492","23,435","54,965",-
2021,충청남도,"8,489,538","5,845,613","2,643,925",16.76,"3,094,979","2,047","57,296",-,"2,677,939","13,352","453,170","2,190,755"
2021,전라북도,"8,325,469","8,314,254","11,215",16.43,"4,231,407","145,910","238,930",-,"3,676,706","21,301","11,215",-
2021,전라남도,"6,158,271","5,928,947","229,324",12.16,"5,198,466","525,511","86,132",13,"57,690","61,136","229,324",-
2021,경상북도,"4,393,519","4,357,360","36,159",8.67,"3,076,962","914,994","292,238",-,"22,778","50,388","36,159",-
2021,경상남도,"2,542,146","2,516,475","25,672",5.02,"1,823,756","68,197","236,059",-,"372,760","15,702","25,672",-
2021,제주특별자치도,"2,662,500","2,662,109",390,5.26,"676,330","529,363","3,198",6,"1,410,179","43,033",390,-
